institution.displayName,institution.schoolType,ranking.sortRank,searchData.enrollment.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.satAvg.displayValue,searchData.engineeringRepScore.rawValue,searchData.businessRepScore.rawValue,searchData.computerScienceRepScore.rawValue
Marymount Manhattan College,national-liberal-arts-colleges,151,1770,77.0,3.5,1050-1258,,,
Marymount University,national-universities,299,2221,84.0,3.4,1120-1268,,,
Maryville College,national-liberal-arts-colleges,-1,1046,68.0,3.6,1100-1320,,,
Maryville University of St. Louis,national-universities,234,5684,92.0,3.4,1000-1230,,,
Massachusetts College of Liberal Arts,national-liberal-arts-colleges,130,870,91.0,3.2,960-1180,,,
Massachusetts Institute of Technology,national-universities,2,4638,4.0,,1510-1580,4.9,4.6,4.9
The Master's University and Seminary,national-universities,299,1582,67.0,,1040-1340,,,
Medgar Evers College--CUNY,national-liberal-arts-colleges,-1,4134,86.0,,710-900,,,
Mercer University,national-universities,166,4941,75.0,,1220-1400,3.0,2.4,2.0
Meredith College,national-liberal-arts-colleges,130,1427,70.0,3.5,1098-1273,,2.0,
Miami University--Oxford,national-universities,105,16977,89.0,3.8,1160-1370,3.3,3.2,2.2
Michigan State University,national-universities,77,38574,83.0,3.7,1100-1320,3.3,3.8,3.4
Michigan Technological University,national-universities,151,5778,86.0,3.8,1130-1330,2.9,2.3,2.8
Middlebury College,national-liberal-arts-colleges,11,2858,13.0,,1380-1530,,,2.3
Middle Tennessee State University,national-universities,299,17892,68.0,3.6,1010-1210,2.6,2.4,< 2.0
Millsaps College,national-liberal-arts-colleges,136,697,68.0,3.7,1135-1355,,2.1,
Misericordia University,national-universities,219,1775,80.0,3.5,1012-1210,,,
Mississippi College,national-universities,317,2523,45.0,,1140-1260,< 2.0,< 2.0,
Mississippi State University,national-universities,194,18584,76.0,3.7,1030-1280,2.5,2.9,2.6
Missouri State University,national-universities,-1,19621,87.0,,1020-1220,,2.3,2.1
Missouri University of Science and Technology,national-universities,182,5700,85.0,3.8,1290-1460,2.8,2.4,2.8
Monmouth College,national-liberal-arts-colleges,130,753,66.0,3.5,1050-1270,,,
Montana State University,national-universities,263,14668,73.0,3.5,1070-1300,2.2,2.4,2.4
Montclair State University,national-universities,182,16093,91.0,3.3,1010-1210,,2.2,< 2.0
Morehouse College,national-liberal-arts-colleges,124,2554,65.0,3.4,,,2.6,
Morgan State University,national-universities,317,7034,87.0,3.0,850-1080,2.1,2.3,
Mount Holyoke College,national-liberal-arts-colleges,36,2220,52.0,3.9,1300-1510,,,2.5
Mount St. Joseph University,national-universities,-1,1475,63.0,3.6,950-1140,,,
Muhlenberg College,national-liberal-arts-colleges,76,2074,68.0,3.4,1200-1370,,,
National Louis University,national-universities,-1,3607,97.0,,,,,
New College of Florida,national-liberal-arts-colleges,76,632,74.0,3.9,1120-1340,,,
New Jersey Institute of Technology,national-universities,97,9183,69.0,3.7,1180-1430,2.7,2.7,3.0
New Mexico State University,national-universities,263,11231,57.0,3.5,920-1140,2.4,2.4,2.5
The New School,national-universities,127,7376,66.0,3.5,1140-1360,,,
New York University,national-universities,25,28772,13.0,3.8,1450-1570,3.0,4.4,3.8
North Carolina Agricultural and Technical State University,national-universities,299,11596,57.0,3.7,990-1170,2.2,2.1,< 2.0
North Carolina State University,national-universities,72,26505,47.0,3.8,1270-1440,3.5,3.2,3.5
North Dakota State University,national-universities,285,10199,95.0,3.5,1096-1313,2.1,2.4,2.2
Northeastern University,national-universities,44,15747,18.0,,1430-1550,3.2,3.4,3.8
Northern Arizona University,national-universities,317,24168,78.0,3.7,1060-1268,2.1,2.5,2.2
Northern Illinois University,national-universities,-1,11834,70.0,3.3,900-1140,3.0,2.6,2.0
Northern Kentucky University,national-universities,-1,10814,80.0,3.4,993-1200,,2.3,
Northwestern University,national-universities,10,8494,7.0,,1460-1560,3.9,,3.9
Nova Southeastern University,national-universities,219,6637,93.0,3.8,1040-1310,,,< 2.0
Oakland City University,national-universities,263,637,77.0,,960-1180,,,
Oakland University,national-universities,-1,13771,92.0,3.5,970-1230,< 2.0,2.2,2.1
Oakwood University,national-liberal-arts-colleges,-1,1339,89.0,,,,,
Oberlin College and Conservatory,national-liberal-arts-colleges,39,2942,34.0,3.7,1338-1460,,,
